STATE,WEEK,SU_ID,perception,ECON1,ECON2,ECON1_worked,ECON2_hours
NY,1,0024480063,0.025,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0027277047,0.275,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0022062210,0.012,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
NY,1,0021993274,0.217,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
TX,1,0040003856,0.012,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
NY,1,0026243344,0.025,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
NY,1,0022006425,0.125,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0027277121,0.125,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
TX,1,0022731822,0.023,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0028603607,0.012,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
NY,1,0025399681,0.25,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0023859262,0.025,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0040004452,0.012,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
NY,1,0026067074,0.025,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
NY,1,0020711023,0.275,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0026972213,0.125,"(1) Yes, I worked for someone else for wages, salary, piece",60,1.0,60.0
TX,1,0040007198,0.012,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0040010382,0.275,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0026639582,0.125,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0040010810,0.125,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
TX,1,0021810635,0.237,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0023175325,0.25,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0024737301,0.125,"(1) Yes, I worked for someone else for wages, salary, piece",42,1.0,42.0
NY,1,0020016311,0.25,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0021560417,0.25,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0026490743,0.217,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0023268527,0.012,"(1) Yes, I worked for someone else for wages, salary, piece",70,1.0,70.0
NY,1,0022600384,0.023,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0020296740,0.025,"(1) Yes, I worked for someone else for wages, salary, piece",38,1.0,38.0
TX,1,0040009572,0.012,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0027127396,0.25,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0025466408,0.012,"(1) Yes, I worked for someone else for wages, salary, piece",50,1.0,50.0
TX,1,0040008877,0.237,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0028899326,0.125,"(1) Yes, I worked for someone else for wages, salary, piece",37,1.0,37.0
NY,1,0022377476,0.275,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0029179021,0.275,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0040000828,0.275,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0029540900,0.023,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0022704691,0.275,"(1) Yes, I worked for someone else for wages, salary, piece",35,1.0,35.0
NY,1,0022221341,0.275,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0022456386,0.25,"(1) Yes, I worked for someone else for wages, salary, piece",39,1.0,39.0
TX,1,0024251857,0.012,"(1) Yes, I worked for someone else for wages, salary, piece",44,1.0,44.0
NY,1,0040007410,0.75,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0040010220,0.025,"(1) Yes, I worked for someone else for wages, salary, piece",50,1.0,50.0
TX,1,0040005605,0.275,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0040008453,0.012,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0023489959,0.032,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0022708444,0.125,"(1) Yes, I worked for someone else for wages, salary, piece",55,1.0,55.0
TX,1,0040007833,0.217,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0022251711,0.125,"(1) Yes, I worked for someone else for wages, salary, piece",38,1.0,38.0
NY,1,0040010795,0.025,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
NY,1,0040000592,0.125,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0024023264,0.032,"(1) Yes, I worked for someone else for wages, salary, piece",35,1.0,35.0
TX,1,0020872005,0.012,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0027027552,0.025,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
TX,1,0026153507,0.025,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0040000345,0.023,"(1) Yes, I worked for someone else for wages, salary, piece",75,1.0,75.0
TX,1,0028149030,0.012,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0021663837,0.025,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
NY,1,0020507439,0.012,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0024191919,0.012,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
NY,1,0027931298,0.025,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0040007932,0.217,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0024244591,0.025,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
TX,1,0028498837,0.023,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
TX,1,0022452156,0.012,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0040002484,0.025,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0040009662,0.012,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0029235814,0.125,"(1) Yes, I worked for someone else for wages, salary, piece",45,1.0,45.0
TX,1,0026892998,0.025,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
TX,1,0021096260,0.025,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0040006782,0.025,"(1) Yes, I worked for someone else for wages, salary, piece",50,1.0,50.0
TX,1,0028087464,0.027,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0026111196,0.012,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0025804260,0.125,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0040005312,0.012,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
NY,1,0026919013,0.275,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0040006231,0.025,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
TX,1,0040001821,0.237,"(1) Yes, I worked for someone else for wages, salary, piece",0,1.0,0.0
NY,1,0040009895,0.275,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0028006223,0.012,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
NY,1,0040010320,0.125,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
TX,1,0040004780,0.015,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0029263919,0.025,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
TX,1,0028180478,0.217,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0021646427,0.275,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0021537266,0.025,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0022767807,0.25,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0021041288,0.012,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0024373076,0.275,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0040010252,0.012,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
NY,1,0029837807,0.2,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0040005930,0.012,"(1) Yes, I worked for someone else for wages, salary, piece",55,1.0,55.0
NY,1,0040005329,0.025,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0024489578,0.237,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0026197084,0.012,"(1) Yes, I worked for someone else for wages, salary, piece",20,1.0,20.0
NY,1,0029956590,0.025,"(1) Yes, I worked for someone else for wages, salary, piece",35,1.0,35.0
TX,1,0040010326,0.025,"(1) Yes, I worked for someone else for wages, salary, piece",50,1.0,50.0
NY,1,0021580816,0.275,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0022446888,0.025,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0026133524,0.012,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0028016839,0.012,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0025798872,0.237,"(1) Yes, I worked for someone else for wages, salary, piece",30,1.0,30.0
TX,1,0021426437,0.012,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0028774571,0.123,"(1) Yes, I worked for someone else for wages, salary, piece",60,1.0,60.0
TX,1,0024340445,0.012,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0028520229,0.032,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0025390398,0.125,"(1) Yes, I worked for someone else for wages, salary, piece",60,1.0,60.0
TX,1,0040010668,0.012,"(1) Yes, I worked for someone else for wages, salary, piece",70,1.0,70.0
NY,1,0040010530,0.275,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0021100207,0.025,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0023619406,0.125,"(1) Yes, I worked for someone else for wages, salary, piece",50,1.0,50.0
TX,1,0028949831,0.025,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0020834620,0.025,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0029253204,0.025,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0022756638,0.012,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0040009661,0.012,"(1) Yes, I worked for someone else for wages, salary, piece",0,1.0,0.0
TX,1,0020750356,0.123,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0040007102,0.125,"(1) Yes, I worked for someone else for wages, salary, piece",32,1.0,32.0
NY,1,0025167582,0.275,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0022945663,0.125,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0040010522,0.025,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0024669542,0.025,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0022769800,0.275,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0025644935,0.025,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0029842450,0.125,"(1) Yes, I worked for someone else for wages, salary, piece",45,1.0,45.0
NY,1,0027370944,0.275,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0021003450,0.012,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
NY,1,0026735685,0.025,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
NY,1,0020298708,0.125,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0028273589,0.023,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0027225610,0.012,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
NY,1,0040005075,0.125,"(1) Yes, I worked for someone else for wages, salary, piece",60,1.0,60.0
NY,1,0028805624,0.125,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0028476256,0.725,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0024001856,0.275,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0021941544,0.125,"(1) Yes, I worked for someone else for wages, salary, piece",35,1.0,35.0
NY,1,0040010323,0.012,"(1) Yes, I worked for someone else for wages, salary, piece",37,1.0,37.0
TX,1,0040010709,0.012,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
TX,1,0020424056,0.023,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0040006625,0.275,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0025135400,0.25,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0025704709,0.012,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
NY,1,0040006031,0.125,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0029693361,0.025,"(1) Yes, I worked for someone else for wages, salary, piece",60,1.0,60.0
NY,1,0040010874,0.275,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0029705701,0.025,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0025258256,0.125,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0025129613,0.275,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0026573537,0.025,"(1) Yes, I worked for someone else for wages, salary, piece",48,1.0,48.0
TX,1,0023237331,0.012,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0022122078,0.125,"(1) Yes, I worked for someone else for wages, salary, piece",35,1.0,35.0
TX,1,0028618531,0.012,"(1) Yes, I worked for someone else for wages, salary, piece",45,1.0,45.0
TX,1,0026871426,0.012,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0021412634,0.3,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0029335555,0.123,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0025533696,0.025,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0040000722,0.125,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
TX,1,0040003629,0.012,"(1) Yes, I worked for someone else for wages, salary, piece",50,1.0,50.0
TX,1,0040009310,0.012,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0029787099,0.275,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0022232770,0.275,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0026670257,0.275,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0027827417,0.275,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0040005892,0.275,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0025575823,0.025,"(1) Yes, I worked for someone else for wages, salary, piece",60,1.0,60.0
TX,1,0040008234,0.012,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0040009880,0.027,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
TX,1,0040010453,0.012,"(1) Yes, I worked for someone else for wages, salary, piece",25,1.0,25.0
NY,1,0029563166,0.275,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0024672749,0.125,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0040003777,0.125,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0040003763,0.25,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0040010079,0.275,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0029360593,0.025,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0026999588,0.125,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0029243410,0.012,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0040002094,0.012,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
TX,1,0040001402,0.012,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0040004811,0.275,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0021753950,0.275,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0021187972,0.025,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
NY,1,0028036442,0.25,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0040006635,0.025,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0023911118,0.012,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
NY,1,0040011005,0.025,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
TX,1,0029293037,0.237,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0028706718,0.025,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0040001571,0.275,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0040006593,0.25,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
NY,1,0023443603,0.25,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0040006634,0.012,"(1) Yes, I worked for someone else for wages, salary, piece",52,1.0,52.0
NY,1,0029151083,0.025,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0040010718,0.012,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
NY,1,0025995218,0.275,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0021609478,0.125,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
NY,1,0022361705,0.025,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0026085243,0.012,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
NY,1,0024788747,0.032,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
TX,1,0028608135,0.125,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0040000696,0.125,"(1) Yes, I worked for someone else for wages, salary, piece",50,1.0,50.0
TX,1,0024387493,0.012,"(1) Yes, I worked for someone else for wages, salary, piece",50,1.0,50.0
TX,1,0025107102,0.012,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0024177133,0.125,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0025459338,0.023,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0020020613,0.012,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0027950675,0.025,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0040010888,0.032,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0040002859,0.012,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
NY,1,0029597231,0.025,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0040003606,0.012,"(1) Yes, I worked for someone else for wages, salary, piece",10,1.0,10.0
NY,1,0028724424,0.025,"(1) Yes, I worked for someone else for wages, salary, piece",37,1.0,37.0
NY,1,0025736976,0.237,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0028826943,0.012,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
TX,1,0040001561,0.012,"(1) Yes, I worked for someone else for wages, salary, piece",30,1.0,30.0
TX,1,0040011014,0.217,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0040001207,0.032,"(1) Yes, I worked for someone else for wages, salary, piece",18,1.0,18.0
TX,1,0040004425,0.017,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0025901482,0.217,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0022263070,0.025,"(1) Yes, I worked for someone else for wages, salary, piece",60,1.0,60.0
TX,1,0026405675,0.012,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0023564333,0.012,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0028962450,0.267,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0024819323,0.275,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0022238270,0.012,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0026046146,0.125,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0027690058,0.012,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
TX,1,0040000938,0.012,"(1) Yes, I worked for someone else for wages, salary, piece",20,1.0,20.0
TX,1,0040001617,0.312,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0020883883,0.012,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0020479973,0.275,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0040010915,0.012,"(1) Yes, I worked for someone else for wages, salary, piece",60,1.0,60.0
NY,1,0020512687,0.25,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0021661677,0.025,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
TX,1,0024493292,0.237,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0027776906,0.012,"(1) Yes, I worked for someone else for wages, salary, piece",50,1.0,50.0
TX,1,0040008829,0.025,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
NY,1,0024570245,0.75,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0028864807,0.275,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0020268767,0.012,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0026187319,0.012,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
NY,1,0029746228,0.025,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0028202613,0.137,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0026183619,0.012,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0027560923,0.125,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
NY,1,0023826820,0.125,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0026824143,0.275,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0040006435,0.012,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0040002286,0.025,"(1) Yes, I worked for someone else for wages, salary, piece",35,1.0,35.0
NY,1,0029826099,0.025,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
TX,1,0021939414,0.125,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0023604108,0.25,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0026790562,0.312,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0040004430,0.012,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
TX,1,0029231735,0.013,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0028578335,0.125,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
NY,1,0040010245,0.125,"(1) Yes, I worked for someone else for wages, salary, piece",45,1.0,45.0
NY,1,0021606370,0.275,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0023200996,0.012,"(1) Yes, I worked for someone else for wages, salary, piece",50,1.0,50.0
NY,1,0022873103,0.275,"(3) No, I did not work for pay last week.",,0.0,
TX,2,0024234635,0.025,"(3) No, I did not work for pay last week.",,0.0,
TX,2,0021325858,0.217,"(3) No, I did not work for pay last week.",,0.0,
NY,2,0021394850,0.125,"(3) No, I did not work for pay last week.",,0.0,
NY,2,0023067857,0.023,"(3) No, I did not work for pay last week.",,0.0,
TX,2,0040005769,0.012,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
NY,2,0040001455,0.025,"(3) No, I did not work for pay last week.",,0.0,
TX,2,0040007397,0.025,"(1) Yes, I worked for someone else for wages, salary, piece",50,1.0,50.0
TX,2,0020081072,0.025,"(3) No, I did not work for pay last week.",,0.0,
TX,2,0020371463,0.012,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
NY,2,0040007178,0.012,"(3) No, I did not work for pay last week.",,0.0,
NY,2,0021849165,0.012,"(3) No, I did not work for pay last week.",,0.0,
TX,2,0040007591,0.012,"(3) No, I did not work for pay last week.",,0.0,
NY,2,0023268841,0.025,"(3) No, I did not work for pay last week.",,0.0,
TX,2,0025808782,0.012,"(3) No, I did not work for pay last week.",,0.0,
TX,2,0029688666,0.012,"(1) Yes, I worked for someone else for wages, salary, piece",45,1.0,45.0
TX,2,0026298007,0.025,"(3) No, I did not work for pay last week.",,0.0,
TX,2,0028949252,0.012,"(3) No, I did not work for pay last week.",,0.0,
TX,2,0040005153,0.025,"(3) No, I did not work for pay last week.",,0.0,
NY,2,0024162180,0.125,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
TX,2,0021654310,0.012,"(3) No, I did not work for pay last week.",,0.0,
TX,2,0040007037,0.012,"(3) No, I did not work for pay last week.",,0.0,
TX,2,0023143528,0.012,"(3) No, I did not work for pay last week.",,0.0,
TX,2,0021679296,0.023,"(1) Yes, I worked for someone else for wages, salary, piece",45,1.0,45.0
TX,2,0040008338,0.025,"(1) Yes, I worked for someone else for wages, salary, piece",25,1.0,25.0
TX,2,0023904960,0.275,"(3) No, I did not work for pay last week.",,0.0,
NY,2,0024226975,0.025,"(3) No, I did not work for pay last week.",,0.0,
NY,2,0025463383,0.012,"(3) No, I did not work for pay last week.",,0.0,
TX,2,0026114523,0.125,"(3) No, I did not work for pay last week.",,0.0,
TX,2,0024147702,0.012,"(1) Yes, I worked for someone else for wages, salary, piece",46,1.0,46.0
TX,2,0021928832,0.012,"(3) No, I did not work for pay last week.",,0.0,
NY,2,0020368486,0.025,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
NY,2,0024559691,0.025,"(3) No, I did not work for pay last week.",,0.0,
TX,2,0040005378,0.217,"(3) No, I did not work for pay last week.",,0.0,
TX,2,0027757971,0.012,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
NY,2,0026698817,0.025,"(1) Yes, I worked for someone else for wages, salary, piece",38,1.0,38.0
TX,2,0040004933,0.025,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
NY,2,0020423435,0.025,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
NY,2,0022174691,0.125,"(3) No, I did not work for pay last week.",,0.0,
NY,2,0029602969,0.125,"(3) No, I did not work for pay last week.",,0.0,
NY,2,0040005183,0.125,"(3) No, I did not work for pay last week.",,0.0,
TX,2,0023352927,0.012,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
TX,2,0040004112,0.012,"(1) Yes, I worked for someone else for wages, salary, piece",45,1.0,45.0
NY,2,0028211808,0.025,"(3) No, I did not work for pay last week.",,0.0,
TX,2,0029995398,0.013,"(3) No, I did not work for pay last week.",,0.0,
NY,2,0040003525,0.725,"(3) No, I did not work for pay last week.",,0.0,
NY,2,0020712724,0.025,"(1) Yes, I worked for someone else for wages, salary, piece",35,1.0,35.0
NY,2,0028766687,0.025,"(3) No, I did not work for pay last week.",,0.0,
TX,2,0028834643,0.002,"(3) No, I did not work for pay last week.",,0.0,
NY,2,0024515262,0.025,"(1) Yes, I worked for someone else for wages, salary, piece",80,1.0,80.0
TX,2,0040003443,0.012,"(3) No, I did not work for pay last week.",,0.0,
TX,2,0040001254,0.032,"(3) No, I did not work for pay last week.",,0.0,
NY,2,0040007596,0.275,"(3) No, I did not work for pay last week.",,0.0,
NY,2,0025952474,0.025,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
TX,2,0025581670,0.012,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
NY,2,0022049869,0.025,"(1) Yes, I worked for someone else for wages, salary, piece",27,1.0,27.0
TX,2,0024799392,0.012,"(3) No, I did not work for pay last week.",,0.0,
NY,2,0027108755,0.025,"(1) Yes, I worked for someone else for wages, salary, piece",50,1.0,50.0
NY,2,0026472858,0.125,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
NY,2,0040007219,0.025,"(3) No, I did not work for pay last week.",,0.0,
NY,2,0021600547,0.123,"(1) Yes, I worked for someone else for wages, salary, piece",35,1.0,35.0
NY,2,0028914408,0.125,"(3) No, I did not work for pay last week.",,0.0,
TX,2,0020750315,0.012,"(3) No, I did not work for pay last week.",,0.0,
TX,2,0022852986,0.125,"(3) No, I did not work for pay last week.",,0.0,
TX,2,0027815022,0.012,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
TX,2,0040007380,0.275,"(3) No, I did not work for pay last week.",,0.0,
TX,2,0025825767,0.025,"(3) No, I did not work for pay last week.",,0.0,
TX,2,0023024837,0.012,"(3) No, I did not work for pay last week.",,0.0,
TX,2,0029898127,0.012,"(1) Yes, I worked for someone else for wages, salary, piece",50,1.0,50.0
TX,2,0028715241,0.032,"(3) No, I did not work for pay last week.",,0.0,
NY,2,0029668218,0.025,"(3) No, I did not work for pay last week.",,0.0,
TX,2,0023454060,0.032,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
TX,2,0027287580,0.125,"(3) No, I did not work for pay last week.",,0.0,
TX,2,0040002401,0.012,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
TX,2,0040007551,0.012,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
NY,2,0023791792,0.125,"(3) No, I did not work for pay last week.",,0.0,
